Species,Family,Heterozygosity,Allelic richness,Breeding range size,Body mass,Latitude,Migratory status,References
Tympanuchus pallidicinctus,Galliformes,0.697,4.33,77.0169,746,35.68,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Amaurornis olivieri,Gruiformes,0.544,4.59,4.8404,157,18.01,Resident,Hughes 2010; Willoughby et al. 2015
Balearica regulorum,Gruiformes,0.661,7.57,378.2265,3772,12.81,Resident,Meares et al. 2008; Willoughby et al. 2015
Chlamydotis undulata,Gruiformes,0.543,4.45,440.4996,1501,28.24,Resident,Chbel et al. 2002; Willoughby et al. 2015
Crex crex,Gruiformes,0.899,12.89,3689.0122,155,25.71,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Grus americana,Gruiformes,0.455,3.8,88.1846,5826,41.1,Migratory,Hughes 2010; Jones et al. 2010
Grus canadensis,Gruiformes,0.575,3.79,3824.2458,4296,45.94,Migratory,Hughes 2010; Jones et al. 2010
Grus japonensis,Gruiformes,0.549,2.8,164.9847,8786,40.78,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Mesitornis variegatus,Gruiformes,0.702,6.1,4.3794,113,18.08,Resident,Gamero et al. 2013; Willoughby et al. 2015
Monias benschi,Gruiformes,0.471,5.56,1.4406,138,22.42,Resident,Seddon et al. 2005; Willoughby et al. 2015
Otis tarda,Gruiformes,0.513,4.21,1227.5218,6760,43.35,Migratory,Horreo et al. 2013; Willoughby et al. 2015
Porphyrio hochstetteri,Gruiformes,0.405,2.25,1.2029,2462,45.27,Resident,Grueber et al. 2015
Rallus elegans,Gruiformes,0.844,13.56,497.529,313,34.64,Migratory,Brackett et al.2013; Willoughby et al. 2015
Aethia cristatella,Charadriiformes,0.819,9.89,156.1068,259,53.1,Resident,Evans and Sheldon 2008; Dawson et al. 2005b
Aethia psittacula,Charadriiformes,0.687,15,130.5203,270,53.24,Resident,Dawson et al. 2005b; Willoughby et al. 2015
Brachyramphus marmoratus,Charadriiformes,0.661,6.16,494.0573,220,53.51,Resident,Rew et al. 2006; Willoughby et al. 2015
Burhinus oedicnemus,Charadriiformes,0.739,8.6,1610.2031,459,31.93,Migratory,Mori et al. 2014
Calidris melanotos,Charadriiformes,0.872,15.5,2044.3691,80,19.78,Migratory,Carter and Kempenaers 2007; Willoughby et al. 2015
Calidris ptilocnemis,Charadriiformes,0.82,14.75,144.5699,81,57.25,Migratory,Pruett et al. 2014 
Cerorhinca monocerata,Charadriiformes,0.614,6.13,79.7498,482,46.46,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Charadrius alexandrinus,Charadriiformes,0.755,8.65,2475.3323,42,15.02,Migratory,Hughes 2010; Willoughby et al. 2015
Charadrius montanus,Charadriiformes,0.481,5.04,135.7579,96,35.43,Migratory,Hughes 2010; John et al. 2007
Chlidonias hybrida,Charadriiformes,0.516,7.18,1478.1775,84,9.98,Migratory,Arranz et al. 2013; Willoughby et al. 2015
Coenocorypha pusilla,Charadriiformes,0.034,1.44,0.0009,81,44.3,Resident,Baker et al. 2010; Willoughby et al. 2015
Haematopus ostralegus,Charadriiformes,0.455,3.25,2694.7027,526,23.83,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Himantopus himantopus,Charadriiformes,0.786,7.13,8359.3988,177,17.81,Migratory,Steeves et al. 2008; Willoughby et al. 2015
Larus argentatus,Charadriiformes,0.519,5,729.011,1091,59.33,Migratory,Hughes 2010; Gay et al. 2007
Larus cachinnans,Charadriiformes,0.549,6.11,334.7841,1112,38.96,Migratory,Hughes 2010; Gay et al. 2007
Larus novaehollandiae,Charadriiformes,0.564,7.3,591.6443,269,23.86,Migratory,Evans and Sheldon 2008; Given et al. 2002
Limosa limosa,Charadriiformes,0.682,8.67,3293.2344,288,36.46,Migratory,Verkuil et al. 2009; Willoughby et al. 2015
Numenius tahitiensis,Charadriiformes,0.512,5.4,22.9766,400,25.68,Migratory,Sonsthagen et al. 2014
Pagophila eburnea,Charadriiformes,0.709,7.05,1073.2881,550,76.11,Migratory,Yannic et al. 2011; Willoughby et al. 2015
Philomachus pugnax,Charadriiformes,0.719,19.11,4749.8051,132,21.05,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Rissa tridactyla,Charadriiformes,0.591,6.57,1124.5314,416,41.35,Migratory,Evans and Sheldon 2008; Willoughby et al. 2015
Scolopax rusticola,Charadriiformes,0.64,6.4,4800.3709,308,45.29,Migratory,Hughes 2010; Cardia et al. 2007
Sterna albifrons,Charadriiformes,0.463,3.66,2404.6231,57,5.5,Migratory,Noreikiene et al. 2012a; Willoughby et al. 2015
Sterna hirundo,Charadriiformes,0.71,5.71,8286.4592,129,14.72,Migratory,Szczys et al. 2012; Willoughby et al. 2015
Synthliboramphus hypoleucus,Charadriiformes,0.575,6.25,72.1897,167,32.97,Resident,Birt et al. 2010; Willoughby et al. 2015
Uria aalge,Charadriiformes,0.69,18.6,559.3555,992,57.86,Migratory,Ibarguchi et al. 2000; Willoughby et al. 2015
Uria lomvia,Charadriiformes,0.817,18.6,1660.9548,964,62.81,Migratory,Ibarguchi et al. 2000; Willoughby et al. 2015
Patagioenas squamosa,Columbiformes,0.693,6.73,23.0474,312,13.75,Resident,Baker et al. 2011; Willoughby et al. 2015
Zenaida aurita,Columbiformes,0.79,9.15,26.2954,156,22.54,Resident,Monceau et al. 2013; Willoughby et al. 2015
Amazona farinosa,Psittaciformes,0.755,11.44,692.0493,626,3.63,Resident,Gebhardt and Waits 2008; Willoughby et al. 2015
Amazona guildingii,Psittaciformes,0.556,4.67,0.0045,646,13.25,Resident,Evans and Sheldon 2008; Russello et al. 2001
Amazona leucocephala,Psittaciformes,0.51,3.2,14.4449,235,21.89,Resident,Russello et al. 2010; Willoughby et al. 2015
Amazona vittata,Psittaciformes,0.676,4.28,0.9917,279,18.28,Resident,Afanador et al. 2014
Ara ararauna,Psittaciformes,0.72,7.4,806.6543,1125,0.51,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
Ara chloropterus,Psittaciformes,0.574,5.9,832.7031,1214,5.12,Resident,Gebhardt and Waits 2008; Willoughby et al. 2015
Ara macao,Psittaciformes,0.735,7.45,717.9264,1015,6.85,Resident,Gebhardt and Waits 2008; Willoughby et al. 2015
Calyptorhynchus latirostris,Psittaciformes,0.688,6.6,5.778,612,32.01,Resident,Hughes 2010; Willoughby et al. 2015
Cyanoramphus auriceps,Psittaciformes,0.45,3.06,12.2467,46,43.04,Resident,Andrews et al. 2013; Willoughby et al. 2015
Cyanoramphus forbesi,Psittaciformes,0.475,4.14,0.013,90,44.28,Resident,Evans and Sheldon 2008; Willoughby et al. 2015
